
Energies
--------
(a): Experimental energies, in inverse centimeters.
(b): Experimental errors, in inverse centimeters.
(c): Calculated energies, in inverse centimeters.
(d): Difference (a) - (b), in inverse centimeters.
(e): Difference (a) - (b), in MHz.
(f): Contribution to the total chi2.
    (a)         (b)         (c)          (d)         (e)        (f)  
50422.049160  0.000010  50422.049061   0.000099   2.962e+00  9.762e+01
50422.069907  0.000010  50422.069890   0.000017   5.163e-01  2.966e+00
50422.619154  0.000010  50422.619094   0.000060   1.806e+00  3.628e+01
50422.639235  0.000010  50422.639078   0.000157   4.715e+00  2.473e+02
50423.166266  0.000010  50423.166251   0.000015   4.614e-01  2.369e+00
50423.185412  0.000010  50423.185435  -0.000023  -6.919e-01  5.326e+00
50423.691829  0.000010  50423.691740   0.000089   2.681e+00  7.997e+01
50423.710176  0.000010  50423.710167   0.000009   2.796e-01  8.701e-01
50424.196846  0.000010  50424.196690   0.000156   4.682e+00  2.439e+02
50424.214458  0.000010  50424.214399   0.000059   1.770e+00  3.488e+01
50424.682115  0.000010  50424.682158  -0.000043  -1.287e+00  1.844e+01
50424.699260  0.000010  50424.699186   0.000074   2.221e+00  5.487e+01

Number of data points: 149
Number of fitted MQDT parameters: 12
Number of degrees of freedom: 137

chi2: 8.000e+03  Reduced chi2: 5.839e+01
